item_id,target_value,timestamp
Hughes Airwest  / Military - US Marine Air Corps,50.0,1971-06-06 17:11:00
Allegheny Airlines,28.0,1971-06-07 08:49:00
Toa DomestiAirline (Japan),68.0,1971-07-03 18:10:00
All Nippon Airways /  Japanese Air Force,163.0,1971-07-30 14:00:00
Pan American World Airways,0.0,1971-07-30 14:29:00
Alaska Airlines,111.0,1971-09-04 11:15:00
British European Airways,63.0,1971-10-02 11:10:00
Lineas Aereas Nacionales SA (Peru),91.0,1971-12-24 12:36:00
Iberia Airlines,104.0,1972-01-07 22:00:00
JAT Yugoslav Airlines,27.0,1972-01-26 16:10:00
Mohawk Airlines,16.0,1972-03-03 20:48:00
Sterling Airways,112.0,1972-03-14 22:00:00
East African Airways,43.0,1972-04-18 09:39:00
Alitalia,115.0,1972-05-05 22:24:00
Delta Air Lines,4.0,1972-05-30 06:24:00
Japan Air Lines,82.0,1972-06-14 20:20:00
Cathay PacifiAirways,81.0,1972-06-15 14:00:00
British European Airways,118.0,1972-06-18 16:11:00
Prinair,5.0,1972-06-24 23:17:00
North Central Airlines / Air Wisconsin,13.0,1972-06-29 09:37:00
Air Inter,60.0,1972-10-27 19:20:00
Japan Air Lines,62.0,1972-11-28 19:51:00
United Air Lines,43.0,1972-12-08 14:28:00
Delta Air Lines/ North Central Airlines,10.0,1972-12-20 18:00:00
Eastern Air Lines,103.0,1972-12-29 23:42:00
Libya Arab Airlines,110.0,1973-02-21 14:10:00
Balkan Bulgarian Airlines,25.0,1973-03-03 12:45:00
Lineas Aereas de Espana/Spantax SA Transportes,68.0,1973-03-05 13:50:00
Varig,123.0,1973-07-11 14:03:00
Pan American World Airways,78.0,1973-07-22 22:07:00
Ozark Air Lines,38.0,1973-07-23 16:43:00
Delta Air Lines,89.0,1973-07-31 10:08:00
Aeroflot,119.0,1973-10-13 20:15:00
Aviaco,85.0,1973-08-13 11:40:00
Trans World Airlines,1.0,1973-08-28 20:50:00
Private Charter,6.0,1973-09-20 22:45:00
Texas International Airlines,11.0,1973-09-27 19:52:00
National Airlines,1.0,1973-11-03 16:40:00
Pan American World Airways,3.0,1973-11-03 09:39:00
Pan American World Airways,30.0,1973-12-17 13:00:00
Pan American World Airways,96.0,1974-01-30 23:41:00
Turkish Airlines (THY),346.0,1974-03-03 11:41:00
Sierra PacifiAirlines,36.0,1974-03-13 19:28:00
Pan American World Airways,107.0,1974-04-22 15:26:00
Aerolineas TAO,44.0,1974-06-08 17:30:00
Trans World Airlines,88.0,1974-09-08 09:40:00
Eastern Air Lines,70.0,1974-09-11 07:34:00
Air Vietnam (South Vietnam),75.0,1974-09-15 11:00:00
Lufthansa,59.0,1974-11-20 07:50:00
Northwest Orient Airlines,3.0,1974-12-01 19:26:00
Trans World Airlines,92.0,1974-12-01 11:10:00
Golden West Airlines / Private,14.0,1975-01-09 16:07:00
Eastern Air Lines,113.0,1975-06-24 16:05:00
Continental Airlines,0.0,1975-08-07 16:11:00
Ceskoslovenske Aerolinie,126.0,1975-08-20 01:15:00
Wien Air Alaska,10.0,1975-08-30 13:57:00
Middle East Airlines,82.0,1976-01-01 05:30:00
Alaska Airlines,1.0,1976-04-05 08:19:00
American Airlines,37.0,1976-04-27 15:10:00
Military - Imperial Iranian Air Force,17.0,1976-05-09 16:30:00
Air Manila,45.0,1976-06-04 14:48:00
Aeroflot / Aeroflot,90.0,1976-09-09 14:50:00
Inex Adria Aviopromet / British Airways,176.0,1976-09-10 10:15:00
Cubana de Aviacion,73.0,1976-10-06 13:24:00
AtlantiCity Airlines,3.0,1976-12-12 23:26:00
EgyptAir,53.0,1976-12-25 03:45:00
Aeroflot,96.0,1977-01-13 18:15:00
Pan American World Airways / KLM,583.0,1977-03-27 17:07:00
Southern Airways,62.0,1977-04-04 16:19:00
Alaska Aeronautical Industries,13.0,1977-09-06 14:52:00
TAP (Air Portugal),131.0,1977-11-19 21:48:00
Malaysia Airlines,100.0,1977-12-04 20:15:00
"National Jet Services Inc.,  (Air Indiana)",29.0,1977-12-13 19:22:00
Air India,213.0,1978-01-01 20:15:00
Columbia PacifiAirlines,17.0,1978-02-10 16:50:00
PacifiWestern Airlines,42.0,1978-02-11 12:55:00
Continental Airlines,2.0,1978-03-01 09:25:00
National Airlines,3.0,1978-05-08 21:20:00
Air Canada,2.0,1978-06-26 08:08:00
Air Rhodesia,38.0,1978-09-03 17:30:00
PacifiSouthwest Airlines / Private,137.0,1978-09-25 09:02:00
Rocky Mountain Airways,2.0,1978-12-04 19:45:00
Alitalia,108.0,1978-12-23 00:39:00
United Air Lines,10.0,1978-12-28 18:15:00
Allegheny Airlines,2.0,1979-02-12 13:00:00
Garuda Indonesia Airlines,4.0,1979-03-06 18:55:00
Swift Aire Lines Inc.,3.0,1979-03-10 17:52:00
American Airlines,271.0,1979-05-25 15:04:00
Downeast Airlines,17.0,1979-05-30 20:55:00
Air New England,1.0,1979-06-17 22:48:00
Prinair,8.0,1979-07-24 09:22:00
Aeroflot / Aeroflot,178.0,1979-08-11 13:35:00
Butler Aviation Inc.,12.0,1979-09-14 20:47:00
Western Airlines,72.0,1979-10-31 05:42:00
Pakistan International Airlines,156.0,1979-11-26 02:03:00
Air New Zealand,257.0,1979-11-28 12:49:00
LOT Polish Airlines,87.0,1980-03-14 11:00:00
Dan Air Services,146.0,1980-04-25 13:21:00
Thai Airways,44.0,1980-04-27 06:55:00
Air Wisconsin,13.0,1980-06-12 15:46:00
Itavia,81.0,1980-06-27 20:59:00
Aeroflot,166.0,1980-07-07 00:39:00
Saudi Arabian Airlines,301.0,1980-08-19 19:08:00
Cascade Airways,7.0,1981-01-20 11:27:00
Air US / Private,15.0,1981-04-17 16:01:00
Austral Lineas Aeras (Argentina),31.0,1981-05-07 10:53:00
Far Eastern Air Transport,110.0,1981-08-22 10:00:00
NLM (Nederlandse Luchtvaart Maatschappij),17.0,1981-10-06 17:12:00
Inex Adria Aviopromet (Yugoslavia),180.0,1981-12-01 08:53:00
Air Florida,74.0,1982-01-13 16:01:00
World Airways,2.0,1982-01-23 19:36:00
Japan Air Lines,24.0,1982-02-09 08:47:00
Pilgrim Airlines,1.0,1982-02-21 15:33:00
Wideroe's Flyveselksap,15.0,1982-03-11 13:26:00
British Airways,0.0,1982-06-24 20:44:00
Aeroflot,132.0,1982-06-28 10:50:00
CAAC,112.0,1982-04-26 16:45:00
VASP,137.0,1982-06-08 02:25:00
Pan American World Airways,145.0,1982-07-09 16:09:00
Spantax,50.0,1982-09-13 12:00:00
